ny,nx,tile_x,tile_y,ni,nn,ky,kx,chunk_ni,valid,invalid_reason,t_measured_s,total_flops,dram_bytes,dram_bytes_measured,l2_bytes,l2_bytes_measured,shared_memory_bytes,shared_memory_bytes_measured,AI_dram,AI_dram_measured,AI_l2,AI_l2_measured,AI_shared,AI_shared_measured,compute_time_seconds,dram_time_seconds,l2_time_seconds,shared_memory_time_seconds,bottleneck_time_seconds,sm_utilization,parallelism_penalty,predicted_time_seconds,predicted_tflops,t_flops_measured,bottleneck,roofline_min_dram_bytes,roofline_compute_time_seconds,roofline_dram_time_seconds,roofline_time_seconds,roofline_tflops,roofline_AI_dram,roofline_bottleneck,num_spatial_tiles,num_ni_chunks,num_blocks,input_tile_y,input_tile_x,dram_input_bytes,dram_weight_bytes,dram_output_bytes,l2_weight_bytes,shared_fill_bytes,shared_read_bytes,mape_time_v1_pct,mape_time_roofline_pct,rel_err_time_v1,rel_err_time_roofline
224,224,8,8,32,32,3,3,64,True,,0.00037558400000000004,924844032.0,16494592.0,49428192.0,45359104.0,135924459.45070773,1859723264.0,5572902837.479017,56.06953066799106,18.710861040598047,20.38938053097345,6.804103071201763,0.49730196417008415,0.16595373344394543,0.00038059425185185187,7.327560784313725e-05,6.57707008e-05,2.3893333333333336e-06,0.00038059425185185187,1.0,1.0,0.00038059425185185187,2.43,2.4624159495612163,compute,12997120.0,6.16562688e-05,1.9909803921568626e-05,6.16562688e-05,14.999999999999998,71.15761276344298,compute,784,1,784,10,10,10035200.0,36864,6422528.0,28901376.0,10035200.0,1849688064.0,1.3339896938772224,83.58389366959189,0.013339896938772133,-0.8358389366959189
224,224,8,10,32,32,3,3,64,True,,0.000270496,924844032.0,16351232.0,48630464.0,40054784.0,119127582.02805611,1909125120.0,5677959949.418838,56.56112224448898,19.017791645993753,23.089477451682175,7.763475227610908,0.4844334309529173,0.1628831552597798,0.0002593653067660944,7.263874509803921e-05,5.8079436799999996e-05,2.3552000000000003e-06,0.0002593653067660944,1.0,1.0,0.0002593653067660944,3.5657969970288272,3.4190673133798652,compute,12997120.0,6.16562688e-05,1.9909803921568626e-05,6.16562688e-05,14.999999999999998,71.15761276344298,compute,644,1,644,12,10,9891840.0,36864,6422528.0,23740416.0,9891840.0,1899233280.0,4.114919715598601,77.2062179108009,-0.04114919715598597,-0.772062179108009
224,224,10,8,32,32,3,3,64,True,,0.00027500800000000003,924844032.0,16351232.0,49994016.0,40054784.0,122467806.22845691,1909125120.0,5837164550.981964,56.56112224448898,18.499094611643123,23.089477451682175,7.551731842691415,0.4844334309529173,0.15844063053600518,0.0002593653067660944,7.263874509803921e-05,5.8079436799999996e-05,2.3552000000000003e-06,0.0002593653067660944,1.0,1.0,0.0002593653067660944,3.5657969970288272,3.3629713753781703,compute,12997120.0,6.16562688e-05,1.9909803921568626e-05,6.16562688e-05,14.999999999999998,71.15761276344298,compute,644,1,644,10,12,9891840.0,36864,6422528.0,23740416.0,9891840.0,1899233280.0,5.688086613446015,77.5801908308122,-0.056880866134460195,-0.775801908308122
224,224,10,10,32,32,3,3,64,True,,0.0005354240000000001,924844032.0,16209920.0,51779744.0,35674112.0,113954688.6590019,1959856128.0,6260416373.718762,57.054200884396714,17.861116346963787,25.924794764337793,8.115892754246419,0.47189383893387504,0.14772883731543746,0.00038059425185185187,7.201098039215686e-05,5.17274624e-05,2.321554285714286e-06,0.00038059425185185187,1.0,1.0,0.0005792644513185186,1.5965834428383703,1.7273114989242169,compute,12997120.0,6.16562688e-05,1.9909803921568626e-05,6.16562688e-05,14.999999999999998,71.15761276344298,compute,529,1,529,12,12,9750528.0,36864,6422528.0,19501056.0,9750528.0,1950105600.0,8.187987710397469,88.48459000717189,0.0818798771039746,-0.8848459000717188
224,224,8,8,64,64,3,3,64,True,,0.001222528,3699376128.0,33062912.0,99010720.0,148520960.0,444763219.4251734,7418822656.0,22216523841.665012,111.88899900891973,37.36338982283939,24.90810810810811,8.317630519855475,0.49864733253976845,0.16651462462647582,0.0012209162138613861,0.0001468787450980392,0.000215355392,4.778666666666667e-06,0.0012209162138613861,1.0,1.0,0.0012209162138613861,3.03,3.026005235053921,compute,26067968.0,0.0002466250752,3.993254901960784e-05,0.0002466250752,14.999999999999998,141.91271555957104,compute,784,1,784,10,10,20070400.0,147456,12845056.0,115605504.0,20070400.0,7398752256.0,0.1318404272633384,79.8266317663072,-0.001318404272633411,-0.7982663176630719
224,224,8,10,64,64,3,3,64,True,,0.0008424320000000001,3699376128.0,32776192.0,102580672.0,127590400.0,399323660.6848288,7616716800.0,23838276508.072983,112.86778305423644,36.06309118349312,28.994157303370788,9.264104515258811,0.48569169960474307,0.15518639221871527,0.0008543382295670144,0.00014560501960784314,0.00018500608,4.710400000000001e-06,0.0008543382295670144,1.0,1.0,0.0008543382295670144,4.330107210436871,4.3913053255336925,compute,26067968.0,0.0002466250752,3.993254901960784e-05,0.0002466250752,14.999999999999998,141.91271555957104,compute,644,1,644,12,10,19783680.0,147456,12845056.0,94961664.0,19783680.0,7596933120.0,1.4133163943219609,70.72463116310871,0.014133163943219618,-0.7072463116310872
224,224,10,8,64,64,3,3,64,True,,0.000859136,3699376128.0,32776192.0,104274176.0,127590400.0,405916093.77655584,7616716800.0,24231822541.964508,112.86778305423644,35.477394978407695,28.994157303370788,9.113647339236545,0.48569169960474307,0.1526660292098725,0.0008543382295670144,0.00014560501960784314,0.00018500608,4.710400000000001e-06,0.0008543382295670144,1.0,1.0,0.0008543382295670144,4.330107210436871,4.30592610250298,compute,26067968.0,0.0002466250752,3.993254901960784e-05,0.0002466250752,14.999999999999998,141.91271555957104,compute,644,1,644,10,12,19783680.0,147456,12845056.0,94961664.0,19783680.0,7596933120.0,0.5584413216284265,71.29382598331347,-0.005584413216284223,-0.7129382598331346
224,224,10,10,64,64,3,3,64,True,,0.001860768,3699376128.0,32493568.0,102749024.0,110350336.0,348942576.0221858,7819923456.0,24727647725.811672,113.84948947434766,36.00400260736296,33.523922645781525,10.60167598397277,0.4730706315496703,0.1496048540087559,0.0012209162138613861,0.00014434949019607844,0.00016000798719999998,4.643108571428572e-06,0.0012209162138613861,1.0,1.0,0.0018582344774970296,1.9908015768725362,1.9880910075839653,compute,26067968.0,0.0002466250752,3.993254901960784e-05,0.0002466250752,14.999999999999998,141.91271555957104,compute,529,1,529,12,12,19501056.0,147456,12845056.0,78004224.0,19501056.0,7800422400.0,0.13615466855462116,86.74605994944024,-0.0013615466855462222,-0.8674605994944022
224,224,8,8,128,128,3,3,64,True,,0.003232768,14797504512.0,66420736.0,300719392.0,528252928.0,2391661232.576221,29635149824.0,134172922096.22891,222.78441045880612,49.207017923207296,28.012158054711247,6.187123958212343,0.49932275017608496,0.11028681704783339,0.0032669948892205644,0.00029506760784313725,0.0007659667456,9.557333333333334e-06,0.0032669948892205644,1.0,1.0,0.0032669948892205644,4.529393223363863,4.577348115299335,compute,52430848.0,0.0009865003008,8.031686274509804e-05,0.0009865003008,14.999999999999998,282.22897543064727,compute,784,2,784,10,10,40140800.0,589824,25690112.0,462422016.0,40140800.0,29595009024.0,1.0587487014398935,69.48434589800443,0.010587487014398933,-0.6948434589800443
224,224,8,10,128,128,3,3,64,True,,0.00254624,14797504512.0,65847296.0,318395520.0,445104128.0,2152239634.695198,30427299840.0,147127012698.4822,224.72455834784773,46.4752283951734,33.24503993816027,6.875398200765703,0.4863232882908351,0.10057639478024047,0.0023386275446521743,0.0002925201568627451,0.0006454009856,9.420800000000001e-06,0.0023386275446521743,1.0,1.0,0.0023386275446521743,6.3274310378486724,5.811512077416111,compute,52430848.0,0.0009865003008,8.031686274509804e-05,0.0009865003008,14.999999999999998,282.22897543064727,compute,644,2,644,12,10,39567360.0,589824,25690112.0,379846656.0,39567360.0,30387732480.0,8.153687607916995,61.25658615055926,-0.08153687607916993,-0.6125658615055924
