ny,nx,tile_x,tile_y,ni,nn,ky,kx,chunk_ni,valid,invalid_reason,t_measured_s,total_flops,dram_bytes,dram_bytes_measured,l2_bytes,l2_bytes_measured,shared_memory_bytes,shared_memory_bytes_measured,AI_dram,AI_dram_measured,AI_l2,AI_l2_measured,AI_shared,AI_shared_measured,compute_time_seconds,dram_time_seconds,l2_time_seconds,shared_memory_time_seconds,bottleneck_time_seconds,sm_utilization,parallelism_penalty,predicted_time_seconds,predicted_tflops,t_flops_measured,bottleneck,roofline_min_dram_bytes,roofline_compute_time_seconds,roofline_dram_time_seconds,roofline_time_seconds,roofline_tflops,roofline_AI_dram,roofline_bottleneck,num_spatial_tiles,num_ni_chunks,num_blocks,input_tile_y,input_tile_x,dram_input_bytes,dram_weight_bytes,dram_output_bytes,l2_weight_bytes,shared_fill_bytes,shared_read_bytes,mape_time_v1_pct,mape_time_roofline_pct,rel_err_time_v1,rel_err_time_roofline
28,28,8,8,32,32,3,3,64,True,,0.000152,14450688.0,342016.0,206720.0,894976.0,540937.9640718562,37953536.0,22939730.778443113,42.25149700598802,69.9046439628483,16.14645308924485,26.714131674589627,0.3807468163177207,0.6299414818581732,5.9467851851851854e-06,1.5193725490196078e-06,1.2977152e-06,4.8761904761904766e-08,5.9467851851851854e-06,0.2,5.0,8.523725432098767e-05,0.1695348837209302,0.09507031578947368,compute,252416.0,9.633792e-07,3.866666666666667e-07,4.816896e-06,3.0,57.249492900608516,compute,16,1,16,10,10,204800.0,36864,100352.0,589824.0,204800.0,37748736.0,43.92285899935022,96.83098947368421,-0.4392285899935022,-0.9683098947368421
28,28,8,10,32,32,3,3,64,True,,0.00010851200000000001,14450688.0,321536.0,214240.0,727040.0,484428.02547770704,35573760.0,23702858.598726116,44.94267515923567,67.45093353248693,19.876056338028167,29.83041285802943,0.40621761658031086,0.6096601361312866,4.052582918220225e-06,1.428392156862745e-06,1.054208e-06,4.388571428571429e-08,4.052582918220225e-06,0.15,6.666666666666667,8.118708217042715e-05,0.17799245414024428,0.13317133588911825,compute,252416.0,9.633792e-07,3.866666666666667e-07,6.422528000000001e-06,2.25,57.249492900608516,compute,12,1,12,12,10,184320.0,36864,100352.0,442368.0,184320.0,35389440.0,25.18147101663673,94.08127396048363,-0.25181471016636736,-0.9408127396048364
28,28,10,8,32,32,3,3,64,True,,0.00010854400000000001,14450688.0,321536.0,195712.0,727040.0,442533.5031847134,35573760.0,21652977.324840765,44.94267515923567,73.83649444081098,19.876056338028167,32.654449654105136,0.40621761658031086,0.6673764897643826,4.052582918220225e-06,1.428392156862745e-06,1.054208e-06,4.388571428571429e-08,4.052582918220225e-06,0.15,6.666666666666667,8.118708217042715e-05,0.17799245414024428,0.1331320754716981,compute,252416.0,9.633792e-07,3.866666666666667e-07,6.422528000000001e-06,2.25,57.249492900608516,compute,12,1,12,10,12,184320.0,36864,100352.0,442368.0,184320.0,35389440.0,25.203528365983246,94.08301886792452,-0.2520352836598324,-0.9408301886792453
28,28,10,10,32,32,3,3,64,True,,0.000253312,14450688.0,303104.0,206432.0,598016.0,407284.75675675675,33343488.0,22708914.81081081,47.67567567567568,70.00217020616958,24.164383561643834,35.48055202230513,0.43338861249309013,0.6363442780242674,5.9467851851851854e-06,1.3465098039215685e-06,8.671231999999999e-07,3.949714285714286e-08,5.9467851851851854e-06,0.1125,8.88888888888889,0.00016615890458254246,0.08696908562502804,0.057046993431025775,compute,252416.0,9.633792e-07,3.866666666666667e-07,8.563370666666668e-06,1.6874999999999998,57.249492900608516,compute,9,1,9,12,12,165888.0,36864,100352.0,331776.0,165888.0,33177600.0,34.405434964572365,96.61943742630957,-0.34405434964572357,-0.9661943742630958
28,28,8,8,64,64,3,3,64,True,,0.00027827200000000004,57802752.0,757760.0,524448.0,2969600.0,2055269.189189189,151404544.0,104787545.25405405,76.28108108108108,110.21636463481603,19.464827586206898,28.12417580336685,0.3817768639757602,0.5516185330981757,1.9076815841584158e-05,3.3662745098039215e-06,4.30592e-06,9.752380952380953e-08,1.9076815841584158e-05,0.2,5.0,0.00027343436039603964,0.21139534883720926,0.2077203311867525,compute,578560.0,3.8535168e-06,8.862745098039216e-07,1.9267584e-05,3.0,99.9079646017699,compute,16,1,16,10,10,409600.0,147456,200704.0,2359296.0,409600.0,150994944.0,1.7384571943854905,93.07598896044158,-0.0173845719438549,-0.9307598896044158
28,28,8,10,64,64,3,3,64,True,,0.00018048,57802752.0,716800.0,503424.0,2338816.0,1642600.5942857142,141926400.0,99677952.0,80.64,114.81922196796339,24.714535901926446,35.18977906198528,0.4072727272727273,0.5798950604442595,1.33490348369846e-05,3.184313725490196e-06,3.3912831999999997e-06,8.777142857142859e-08,1.33490348369846e-05,0.15,6.666666666666667,0.0002674267769657685,0.21614421957229416,0.32027234042553193,compute,578560.0,3.8535168e-06,8.862745098039216e-07,2.5690112000000003e-05,2.25,99.9079646017699,compute,12,1,12,12,10,368640.0,147456,200704.0,1769472.0,368640.0,141557760.0,48.175297520926684,85.76567375886526,0.48175297520926685,-0.8576567375886525
28,28,10,8,64,64,3,3,64,True,,0.00018403200000000002,57802752.0,716800.0,532064.0,2338816.0,1736048.822857143,141926400.0,105348672.0,80.64,108.63872015396645,24.714535901926446,33.295579731951186,0.4072727272727273,0.5486804048180123,1.33490348369846e-05,3.184313725490196e-06,3.3912831999999997e-06,8.777142857142859e-08,1.33490348369846e-05,0.15,6.666666666666667,0.0002674267769657685,0.21614421957229416,0.3140907668231611,compute,578560.0,3.8535168e-06,8.862745098039216e-07,2.5690112000000003e-05,2.25,99.9079646017699,compute,12,1,12,10,12,368640.0,147456,200704.0,1769472.0,368640.0,141557760.0,45.315367417497214,86.04041036341506,0.4531536741749722,-0.8604041036341505
28,28,10,10,64,64,3,3,64,True,,0.000462848,57802752.0,679936.0,500672.0,1859584.0,1369307.7590361447,133042176.0,97965826.69879518,85.01204819277109,115.45033874472709,31.083700440528634,42.21311945291783,0.4344693821003048,0.5900297475947384,1.9076815841584158e-05,3.020549019607843e-06,2.6963968e-06,7.899428571428572e-08,1.9076815841584158e-05,0.1125,8.88888888888889,0.0005330246047994431,0.10844293392750412,0.12488495575221238,compute,578560.0,3.8535168e-06,8.862745098039216e-07,3.425348266666667e-05,1.6874999999999998,99.9079646017699,compute,9,1,9,12,12,331776.0,147456,200704.0,1327104.0,331776.0,132710400.0,15.16191164257878,92.59941002949853,0.15161911642578785,-0.9259941002949852
28,28,8,8,128,128,3,3,64,True,,0.000540928,231211008.0,1810432.0,1661696.0,10657792.0,9782201.339366516,604798976.0,555111729.8099548,127.710407239819,139.14158065013095,21.694081475787854,23.635887258784734,0.38229398060356506,0.4165125605959655,5.104679514407132e-05,8.042666666666667e-06,1.5453798400000002e-05,1.9504761904761906e-07,5.104679514407132e-05,0.2,5.0,0.0007316707303983557,0.31600417837422295,0.4274339801230478,compute,1452032.0,1.54140672e-05,2.224313725490196e-06,7.7070336e-05,3.0,159.2327221438646,compute,16,2,16,10,10,819200.0,589824,401408.0,9437184.0,819200.0,603979776.0,35.262129229464136,85.75220066256507,0.35262129229464145,-0.8575220066256507
28,28,8,10,128,128,3,3,64,True,,0.000338048,231211008.0,1728512.0,1628672.0,8216576.0,7741981.118483413,566968320.0,534219853.64928913,133.76303317535545,141.96290474693492,28.139581256231306,29.864579164110935,0.40780234070221066,0.432801226724509,3.654105538519022e-05,7.678745098039215e-06,1.1914035199999999e-05,1.7554285714285717e-07,3.654105538519022e-05,0.15,6.666666666666667,0.0007320421879127001,0.3158438295192532,0.6839591063990912,compute,1452032.0,1.54140672e-05,2.224313725490196e-06,0.00010276044800000001,2.25,159.2327221438646,compute,12,2,12,12,10,737280.0,589824,401408.0,7077888.0,737280.0,566231040.0,116.54977633729531,69.60181749337372,1.165497763372953,-0.6960181749337372
